"","year","month","day","avg.max.temp"
"166",1979,6,15,296.64415947212
"167",1979,6,16,296.618239087674
"168",1979,6,17,296.472155102181
"169",1979,6,18,296.365275461944
"170",1979,6,19,296.648582860926
"171",1979,6,20,296.809970076006
"172",1979,6,21,296.758806339026
"173",1979,6,22,296.559375916645
"174",1979,6,23,296.429016493354
"175",1979,6,24,296.378708439083
"176",1979,6,25,296.794270453261
"177",1979,6,26,297.185451359452
"178",1979,6,27,297.411808894231
"179",1979,6,28,297.736580073877
"180",1979,6,29,298.127243159367
"181",1979,6,30,297.91784130837
"182",1979,7,1,297.393218910301
"183",1979,7,2,297.146206245842
"184",1979,7,3,297.352403410188
"185",1979,7,4,297.351694418659
"186",1979,7,5,297.203791233384
"187",1979,7,6,297.403859652006
"188",1979,7,7,298.032748642247
"189",1979,7,8,298.356699144971
"190",1979,7,9,298.873280580402
"191",1979,7,10,299.157873864925
"192",1979,7,11,298.825450888833
"193",1979,7,12,298.562438601539
"194",1979,7,13,298.535825317159
"195",1979,7,14,298.564687042795
"196",1979,7,15,298.663962568905
"197",1979,7,16,298.735180468437
"198",1979,7,17,298.595701817104
"199",1979,7,18,298.64359748477
"200",1979,7,19,298.491700940254
"201",1979,7,20,298.647646418421
"202",1979,7,21,298.668549075843
"203",1979,7,22,298.321204624945
"204",1979,7,23,298.393207273378
"205",1979,7,24,298.463044705234
"206",1979,7,25,298.23404314649
"207",1979,7,26,298.121240798894
"208",1979,7,27,298.401858632294
"209",1979,7,28,298.828310044956
"210",1979,7,29,298.883087448847
"211",1979,7,30,298.787891195109
"212",1979,7,31,299.002141719161
"213",1979,8,1,299.018189717387
"214",1979,8,2,298.963289505396
"215",1979,8,3,298.5522880135
"216",1979,8,4,298.286069977589
"217",1979,8,5,298.676850991721
"218",1979,8,6,298.76928195604
"219",1979,8,7,298.843793624487
"220",1979,8,8,298.55113722134
"221",1979,8,9,298.150856168977
"222",1979,8,10,297.858304101294
"223",1979,8,11,297.803027108999
"224",1979,8,12,297.53384232294
"225",1979,8,13,297.133620852516
"226",1979,8,14,296.684045102745
"227",1979,8,15,296.401615995191
"228",1979,8,16,296.742259747292
"229",1979,8,17,297.21890315241
"230",1979,8,18,297.539631138616
"231",1979,8,19,297.621807917221
"232",1979,8,20,297.615527925037
"233",1979,8,21,297.755957696377
"234",1979,8,22,297.928875877744
"235",1979,8,23,297.599273435711
"236",1979,8,24,297.368834728199
"237",1979,8,25,297.239828586229
"238",1979,8,26,297.286604398511
"239",1979,8,27,297.545690096342
"240",1979,8,28,297.729463547927
"241",1979,8,29,297.93016987336
"242",1979,8,30,298.033577362172
"243",1979,8,31,297.907273076655
"244",1979,9,1,298.079142889784
"245",1979,9,2,298.039202405769
"246",1979,9,3,297.683243507693
"247",1979,9,4,297.608769075163
"248",1979,9,5,297.665734142262
"249",1979,9,6,297.430005788279
"250",1979,9,7,297.028417258909
"251",1979,9,8,296.820957281651
"252",1979,9,9,296.674366503146
"253",1979,9,10,296.351378902673
"254",1979,9,11,296.01294491946
"255",1979,9,12,296.116141775501
"256",1979,9,13,296.136282633687
"257",1979,9,14,296.415057177421
"258",1979,9,15,296.350195558429
"259",1979,9,16,296.248925233499
"260",1979,9,17,296.609795684256
"261",1979,9,18,296.668365327605
"262",1979,9,19,295.953625426799
"263",1979,9,20,295.248758823269
"264",1979,9,21,295.121424703633
"265",1979,9,22,295.111681156368
"266",1979,9,23,295.22842236194
"267",1979,9,24,295.519753301711
"268",1979,9,25,296.035753857958
"269",1979,9,26,296.139553123167
"270",1979,9,27,295.78813783974
"271",1979,9,28,295.43443504585
"272",1979,9,29,295.361856543013
"273",1979,9,30,295.475369843982
"274",1979,10,1,295.527744329543
"275",1979,10,2,295.114373712225
"276",1979,10,3,294.858261281667
"277",1979,10,4,294.882760955475
"278",1979,10,5,294.876849359645
"279",1979,10,6,294.581098479666
"280",1979,10,7,294.302978990715
"281",1979,10,8,293.879622697656
"282",1979,10,9,293.149432641333
"283",1979,10,10,293.14420466161
"284",1979,10,11,293.305394641471
"285",1979,10,12,293.004128670605
"286",1979,10,13,292.85104618841
"287",1979,10,14,292.741540605594
"288",1979,10,15,292.384449510959
"289",1979,10,16,292.537500659537
"290",1979,10,17,292.366111749782
"291",1979,10,18,292.341404276977
"292",1979,10,19,292.308677472125
"293",1979,10,20,292.460857399741
"294",1979,10,21,292.612375453628
"295",1979,10,22,292.263545590355
"296",1979,10,23,291.677518124982
"297",1979,10,24,291.450471764868
"298",1979,10,25,291.038595821395
"299",1979,10,26,290.635071057889
"300",1979,10,27,290.556813675318
"301",1979,10,28,290.288881814698
"302",1979,10,29,290.055345556238
"303",1979,10,30,289.849144909757
"304",1979,10,31,289.40061172653
"305",1979,11,1,289.113258317102
"306",1979,11,2,289.120960601695
"307",1979,11,3,288.846163571536
"308",1979,11,4,288.568754672655
"309",1979,11,5,288.307411210616
"310",1979,11,6,288.152313254779
"311",1979,11,7,287.970258311736
"312",1979,11,8,287.789650740292
