lat,lon,dataset
19.5,-130.5,era
19.5,-129.75,era
19.5,-129,era
19.5,-128.25,era
19.5,-127.5,era
19.5,-126.75,era
19.5,-126,era
19.5,-125.25,era
19.5,-124.5,era
19.5,-123.75,era
19.5,-123,era
19.5,-122.25,era
19.5,-121.5,era
19.5,-120.75,era
19.5,-120,era
19.5,-119.25,era
19.5,-118.5,era
19.5,-117.75,era
19.5,-117,era
19.5,-116.25,era
19.5,-115.5,era
19.5,-114.75,era
19.5,-114,era
19.5,-113.25,era
19.5,-112.5,era
19.5,-111.75,era
19.5,-111,era
19.5,-110.25,era
19.5,-109.5,era
19.5,-108.75,era
19.5,-108,era
19.5,-107.25,era
19.5,-106.5,era
19.5,-105.75,era
19.5,-105,era
19.5,-104.25,era
19.5,-103.5,era
19.5,-102.75,era
19.5,-102,era
19.5,-101.25,era
19.5,-100.5,era
19.5,-99.75,era
19.5,-99,era
19.5,-98.25,era
19.5,-97.5,era
19.5,-96.75,era
19.5,-96,era
19.5,-95.25,era
19.5,-94.5,era
19.5,-93.75,era
19.5,-93,era
19.5,-92.25,era
19.5,-91.5,era
19.5,-90.75,era
19.5,-90,era
19.5,-89.25,era
19.5,-88.5,era
19.5,-87.75,era
19.5,-87,era
19.5,-86.25,era
19.5,-85.5,era
19.5,-84.75,era
19.5,-84,era
19.5,-83.25,era
19.5,-82.5,era
19.5,-81.75,era
19.5,-81,era
19.5,-80.25,era
19.5,-79.5,era
19.5,-78.75,era
19.5,-78,era
19.5,-77.25,era
19.5,-76.5,era
19.5,-75.75,era
19.5,-75,era
19.5,-74.25,era
19.5,-73.5,era
19.5,-72.75,era
19.5,-72,era
19.5,-71.25,era
19.5,-70.5,era
19.5,-69.75,era
19.5,-69,era
19.5,-68.25,era
19.5,-67.5,era
19.5,-66.75,era
19.5,-66,era
19.5,-65.25,era
19.5,-64.5,era
19.5,-63.75,era
19.5,-63,era
19.5,-62.25,era
19.5,-61.5,era
19.5,-60.75,era
19.5,-60,era
19.5,-59.25,era
19.5,-58.5,era
20.25,-136.5,era
20.25,-135.75,era
20.25,-135,era
20.25,-134.25,era
20.25,-133.5,era
20.25,-132.75,era
20.25,-132,era
20.25,-131.25,era
20.25,-130.5,era
20.25,-129.75,era
20.25,-129,era
20.25,-128.25,era
20.25,-127.5,era
20.25,-126.75,era
20.25,-126,era
20.25,-125.25,era
20.25,-124.5,era
20.25,-123.75,era
20.25,-123,era
20.25,-122.25,era
20.25,-121.5,era
20.25,-120.75,era
20.25,-120,era
20.25,-119.25,era
20.25,-118.5,era
20.25,-117.75,era
20.25,-117,era
20.25,-116.25,era
20.25,-115.5,era
20.25,-114.75,era
20.25,-114,era
20.25,-113.25,era
20.25,-112.5,era
20.25,-111.75,era
20.25,-111,era
20.25,-110.25,era
20.25,-109.5,era
20.25,-108.75,era
20.25,-108,era
20.25,-107.25,era
20.25,-106.5,era
20.25,-105.75,era
20.25,-105,era
20.25,-104.25,era
20.25,-103.5,era
20.25,-102.75,era
20.25,-102,era
20.25,-101.25,era
20.25,-100.5,era
20.25,-99.75,era
20.25,-99,era
20.25,-98.25,era
20.25,-97.5,era
20.25,-96.75,era
20.25,-96,era
20.25,-95.25,era
20.25,-94.5,era
20.25,-93.75,era
20.25,-93,era
20.25,-92.25,era
20.25,-91.5,era
20.25,-90.75,era
20.25,-90,era
20.25,-89.25,era
20.25,-88.5,era
20.25,-87.75,era
20.25,-87,era
20.25,-86.25,era
20.25,-85.5,era
20.25,-84.75,era
20.25,-84,era
20.25,-83.25,era
20.25,-82.5,era
20.25,-81.75,era
20.25,-81,era
20.25,-80.25,era
20.25,-79.5,era
20.25,-78.75,era
20.25,-78,era
20.25,-77.25,era
20.25,-76.5,era
20.25,-75.75,era
20.25,-75,era
20.25,-74.25,era
20.25,-73.5,era
20.25,-72.75,era
20.25,-72,era
20.25,-71.25,era
20.25,-70.5,era
20.25,-69.75,era
20.25,-69,era
20.25,-68.25,era
20.25,-67.5,era
20.25,-66.75,era
20.25,-66,era
20.25,-65.25,era
20.25,-64.5,era
20.25,-63.75,era
20.25,-63,era
20.25,-62.25,era
20.25,-61.5,era
20.25,-60.75,era
20.25,-60,era
20.25,-59.25,era
20.25,-58.5,era
21,-136.5,era
21,-135.75,era
21,-135,era
21,-134.25,era
21,-133.5,era
21,-132.75,era
21,-132,era
21,-131.25,era
21,-130.5,era
21,-129.75,era
21,-129,era
21,-128.25,era
21,-127.5,era
21,-126.75,era
21,-126,era
21,-125.25,era
21,-124.5,era
21,-123.75,era
21,-123,era
21,-122.25,era
21,-121.5,era
21,-120.75,era
21,-120,era
21,-119.25,era
21,-118.5,era
21,-117.75,era
21,-117,era
21,-116.25,era
21,-115.5,era
21,-114.75,era
21,-114,era
21,-113.25,era
21,-112.5,era
21,-111.75,era
21,-111,era
21,-110.25,era
21,-109.5,era
21,-108.75,era
21,-108,era
21,-107.25,era
21,-106.5,era
21,-105.75,era
21,-105,era
21,-104.25,era
21,-103.5,era
21,-102.75,era
21,-102,era
21,-101.25,era
21,-100.5,era
21,-99.75,era
21,-99,era
21,-98.25,era
21,-97.5,era
21,-96.75,era
21,-96,era
21,-95.25,era
21,-94.5,era
21,-93.75,era
21,-93,era
21,-92.25,era
21,-91.5,era
21,-90.75,era
21,-90,era
21,-89.25,era
21,-88.5,era
21,-87.75,era
21,-87,era
21,-86.25,era
21,-85.5,era
21,-84.75,era
21,-84,era
21,-83.25,era
21,-82.5,era
21,-81.75,era
21,-81,era
21,-80.25,era
21,-79.5,era
21,-78.75,era
21,-78,era
21,-77.25,era
21,-76.5,era
21,-75.75,era
21,-75,era
21,-74.25,era
21,-73.5,era
21,-72.75,era
21,-72,era
21,-71.25,era
21,-70.5,era
21,-69.75,era
21,-69,era
21,-68.25,era
21,-67.5,era
21,-66.75,era
21,-66,era
21,-65.25,era
21,-64.5,era
21,-63.75,era
21,-63,era
21,-62.25,era
21,-61.5,era
21,-60.75,era
21,-60,era
21,-59.25,era
21,-58.5,era
21.75,-136.5,era
21.75,-135.75,era
21.75,-135,era
21.75,-134.25,era
21.75,-133.5,era
21.75,-132.75,era
21.75,-132,era
21.75,-131.25,era
21.75,-130.5,era
21.75,-129.75,era
21.75,-129,era
21.75,-128.25,era
21.75,-127.5,era
21.75,-126.75,era
21.75,-126,era
21.75,-125.25,era
21.75,-124.5,era
21.75,-123.75,era
21.75,-123,era
21.75,-122.25,era
21.75,-121.5,era
21.75,-120.75,era
21.75,-120,era
21.75,-119.25,era
21.75,-118.5,era
21.75,-117.75,era
21.75,-117,era
21.75,-116.25,era
21.75,-115.5,era
21.75,-114.75,era
21.75,-114,era
21.75,-113.25,era
21.75,-112.5,era
21.75,-111.75,era
21.75,-111,era
21.75,-110.25,era
21.75,-109.5,era
21.75,-108.75,era
21.75,-108,era
21.75,-107.25,era
21.75,-106.5,era
21.75,-105.75,era
21.75,-105,era
21.75,-104.25,era
21.75,-103.5,era
21.75,-102.75,era
21.75,-102,era
21.75,-101.25,era
21.75,-100.5,era
21.75,-99.75,era
21.75,-99,era
21.75,-98.25,era
21.75,-97.5,era
21.75,-96.75,era
21.75,-96,era
21.75,-95.25,era
21.75,-94.5,era
21.75,-93.75,era
21.75,-93,era
21.75,-92.25,era
21.75,-91.5,era
21.75,-90.75,era
21.75,-90,era
21.75,-89.25,era
21.75,-88.5,era
21.75,-87.75,era
21.75,-87,era
21.75,-86.25,era
21.75,-85.5,era
21.75,-84.75,era
21.75,-84,era
21.75,-83.25,era
21.75,-82.5,era
21.75,-81.75,era
21.75,-81,era
21.75,-80.25,era
21.75,-79.5,era
21.75,-78.75,era
21.75,-78,era
21.75,-77.25,era
21.75,-76.5,era
21.75,-75.75,era
21.75,-75,era
21.75,-74.25,era
21.75,-73.5,era
21.75,-72.75,era
21.75,-72,era
21.75,-71.25,era
